symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
MSTR,2025-01-23,371.75,390.2,370.7,373.12,373.12,23306500,23306500,1.37,0.36853,376.4425,"January 23, 25",0.0036853
MSTR,2025-01-22,384.91,390.35,371.05,377.31,377.31,16000314,16000314,-7.6,-1.97,380.905,"January 22, 25",-0.0197
MSTR,2025-01-21,395.46,404.42,367.76,389.1,389.1,26215800,26215800,-6.35,-1.61,389.185,"January 21, 25",-0.0161
MSTR,2025-01-17,383.28,398.68,380.15,396.5,396.5,24339148,24339148,13.22,3.45,389.6525,"January 17, 25",0.0345
MSTR,2025-01-16,357.89,370.26,345.8,367.0,367.0,14826626,14826626,9.11,2.55,360.2375,"January 16, 25",0.0255
MSTR,2025-01-15,357.81,368.42,353.01,360.62,360.62,19941337,19941337,2.81,0.78533,359.965,"January 15, 25",0.0078533
MSTR,2025-01-14,343.0,354.9,331.3,342.17,342.17,17889530,17889530,-0.83,-0.24198,342.8425,"January 14, 25",-0.0024198
MSTR,2025-01-13,309.95,329.6,303.8,328.4,328.4,15914503,15914503,18.45,5.95,317.9375,"January 13, 25",0.0595
MSTR,2025-01-10,330.31,337.0,317.91,327.91,327.91,16478719,16478719,-2.4,-0.72659,328.2825,"January 10, 25",-0.0072659
MSTR,2025-01-08,335.25,344.39,317.22,331.7,331.7,18274800,18274800,-3.55,-1.06,332.14,"January 08, 25",-0.0106
MSTR,2025-01-07,366.47,371.28,335.3,341.43,341.43,24736800,24736800,-25.05,-6.83,353.62,"January 07, 25",-0.0683
MSTR,2025-01-06,349.85,383.02,335.5,379.09,379.09,26707300,26707300,29.24,8.36,361.865,"January 06, 25",0.0836
MSTR,2025-01-03,303.0,343.4,301.77,339.66,339.66,25039041,25039041,36.66,12.1,321.9575,"January 03, 25",0.121
MSTR,2025-01-02,300.11,310.8,292.32,300.01,300.01,17933900,17933900,-0.1,-0.03332112,300.81,"January 02, 25",-0.0003332112
MSTR,2024-12-31,316.96,317.91,285.01,289.62,289.62,22486110,22486110,-27.34,-8.63,302.375,"December 31, 24",-0.0863
MSTR,2024-12-30,319.4,320.01,301.75,302.96,302.96,25771230,25771230,-16.44,-5.15,311.03,"December 30, 24",-0.0515
MSTR,2024-12-27,342.3,342.71,323.2,330.0,330.0,13778500,13778500,-12.3,-3.59,334.5525,"December 27, 24",-0.0359
MSTR,2024-12-26,350.31,351.8,340.0,341.05,341.05,13295118,13295118,-9.25,-2.64,345.79,"December 26, 24",-0.0264
MSTR,2024-12-24,343.5,361.0,342.7,358.18,358.18,16377800,16377800,14.68,4.27,351.345,"December 24, 24",0.0427
MSTR,2024-12-23,358.0,359.74,329.08,332.23,332.23,21742500,21742500,-25.77,-7.2,344.7625,"December 23, 24",-0.072
MSTR,2024-12-20,319.37,364.88,317.0,364.2,364.2,44889900,44889900,44.83,14.04,341.3625,"December 20, 24",0.1404
MSTR,2024-12-19,365.44,367.5,323.48,326.46,326.46,26922900,26922900,-38.98,-10.67,345.72,"December 19, 24",-0.1067
MSTR,2024-12-18,386.0,390.32,338.0,349.64,349.64,24422921,24422921,-36.36,-9.42,365.99,"December 18, 24",-0.0942
MSTR,2024-12-17,413.45,415.68,386.01,386.42,386.42,21822000,21822000,-27.03,-6.54,400.39,"December 17, 24",-0.0654
MSTR,2024-12-16,424.87,437.61,406.46,408.5,408.5,31099439,31099439,-16.37,-3.85,419.36,"December 16, 24",-0.0385
MSTR,2024-12-13,400.07,409.71,388.88,408.67,408.67,21536900,21536900,8.6,2.15,401.8325,"December 13, 24",0.0215
MSTR,2024-12-12,413.71,415.8,386.11,392.19,392.19,21074300,21074300,-21.52,-5.2,401.9525,"December 12, 24",-0.052
MSTR,2024-12-11,385.66,412.68,385.5,411.4,411.4,27594400,27594400,25.74,6.67,398.81,"December 11, 24",0.0667
