symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
MVST,2025-01-24,2.0,2.28,1.99,2.18,2.18,14147551,14147551,0.18,9.0,2.1125,"January 24, 25",0.09
MVST,2025-01-23,2.04,2.07,1.96,1.99,1.99,4625200,4625200,-0.05,-2.45,2.015,"January 23, 25",-0.0245
MVST,2025-01-22,2.06,2.11,1.92,2.08,2.08,7645738,7645738,0.02,0.97087,2.0425,"January 22, 25",0.0097087
MVST,2025-01-21,2.11,2.16,2.03,2.14,2.14,6737222,6737222,0.03,1.42,2.11,"January 21, 25",0.0142
MVST,2025-01-17,2.16,2.3,2.0,2.06,2.06,11357000,11357000,-0.1,-4.63,2.13,"January 17, 25",-0.0463
MVST,2025-01-16,2.08,2.22,1.97,2.16,2.16,9191210,9191210,0.08,3.85,2.1075,"January 16, 25",0.0385
MVST,2025-01-15,2.05,2.33,1.99,2.06,2.06,13101600,13101600,0.01,0.4878,2.1075,"January 15, 25",0.004878
MVST,2025-01-14,2.1,2.22,2.04,2.05,2.05,8174900,8174900,-0.05,-2.38,2.1025,"January 14, 25",-0.0238
MVST,2025-01-13,2.18,2.18,1.91,1.99,1.99,13600900,13600900,-0.19,-8.72,2.065,"January 13, 25",-0.0872
MVST,2025-01-10,2.55,2.87,2.15,2.35,2.35,76813100,76813100,-0.2,-7.84,2.48,"January 10, 25",-0.0784
MVST,2025-01-08,2.06,2.1,1.82,1.87,1.87,9541727,9541727,-0.19,-9.22,1.9625,"January 08, 25",-0.0922
MVST,2025-01-07,2.18,2.34,2.01,2.1,2.1,10459435,10459435,-0.08,-3.67,2.1575,"January 07, 25",-0.0367
MVST,2025-01-06,2.39,2.45,2.17,2.22,2.22,12181900,12181900,-0.17,-7.11,2.3075,"January 06, 25",-0.0711
MVST,2025-01-03,2.43,2.56,2.3,2.39,2.39,10104100,10104100,-0.04,-1.65,2.42,"January 03, 25",-0.0165
MVST,2025-01-02,2.25,2.58,2.12,2.41,2.41,16373737,16373737,0.16,7.11,2.34,"January 02, 25",0.0711
MVST,2024-12-31,2.64,2.67,1.95,2.07,2.07,23181927,23181927,-0.57,-21.59,2.3325,"December 31, 24",-0.2159
MVST,2024-12-30,2.46,2.86,2.31,2.75,2.75,23185700,23185700,0.29,11.79,2.595,"December 30, 24",0.1179
MVST,2024-12-27,2.72,2.82,2.25,2.45,2.45,25248442,25248442,-0.27,-9.93,2.56,"December 27, 24",-0.0993
MVST,2024-12-26,1.87,2.65,1.85,2.55,2.55,36924700,36924700,0.68,36.36,2.23,"December 26, 24",0.3636
MVST,2024-12-24,2.0,2.09,1.72,1.83,1.83,16798600,16798600,-0.17,-8.5,1.91,"December 24, 24",-0.085
MVST,2024-12-23,1.65,2.03,1.6,1.91,1.91,30855601,30855601,0.26,15.76,1.7975,"December 23, 24",0.1576
MVST,2024-12-20,1.49,1.75,1.4,1.53,1.53,27007809,27007809,0.04,2.68,1.5425,"December 20, 24",0.0268
MVST,2024-12-19,1.23,1.51,1.19,1.5,1.5,29033200,29033200,0.27,21.95,1.3575,"December 19, 24",0.2195
MVST,2024-12-18,1.16,1.3,1.08,1.15,1.15,12767525,12767525,-0.01,-0.86207,1.1725,"December 18, 24",-0.0086207
MVST,2024-12-17,1.24,1.25,1.11,1.16,1.16,8074600,8074600,-0.08,-6.45,1.19,"December 17, 24",-0.0645
MVST,2024-12-16,1.3,1.38,1.19,1.21,1.21,10030900,10030900,-0.09,-6.92,1.27,"December 16, 24",-0.0692
MVST,2024-12-13,1.29,1.31,1.15,1.27,1.27,8184218,8184218,-0.02,-1.55,1.255,"December 13, 24",-0.0155
MVST,2024-12-12,1.26,1.32,1.21,1.26,1.26,6790510,6790510,0.0,0.0,1.2625,"December 12, 24",0.0
MVST,2024-12-11,1.21,1.41,1.19,1.25,1.25,13585000,13585000,0.04,3.31,1.265,"December 11, 24",0.0331
MVST,2024-12-10,1.15,1.32,1.09,1.25,1.25,11325100,11325100,0.1,8.7,1.2025,"December 10, 24",0.087
MVST,2024-12-09,1.35,1.36,1.16,1.16,1.16,12873900,12873900,-0.19,-14.07,1.2575,"December 09, 24",-0.1407
MVST,2024-12-06,1.19,1.28,1.12,1.24,1.24,13372700,13372700,0.05,4.2,1.2075,"December 06, 24",0.042
