symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
SMCI,2025-01-24,34.0,34.7,33.06,33.27,33.27,31504090,31504090,-0.73,-2.15,33.7575,"January 24, 25",-0.0215
SMCI,2025-01-23,33.25,33.85,32.79,33.41,33.41,21534448,21534448,0.16,0.4812,33.325,"January 23, 25",0.004812
SMCI,2025-01-22,33.98,34.98,32.7,33.86,33.86,46466200,46466200,-0.12,-0.35315,33.88,"January 22, 25",-0.0035315
SMCI,2025-01-21,31.38,33.49,31.11,32.45,32.45,40097600,40097600,1.07,3.41,32.1075,"January 21, 25",0.0341
SMCI,2025-01-17,31.75,31.83,30.76,30.82,30.82,24396500,24396500,-0.93,-2.93,31.29,"January 17, 25",-0.0293
SMCI,2025-01-16,31.9,32.82,30.89,31.12,31.12,26766812,26766812,-0.78,-2.45,31.6825,"January 16, 25",-0.0245
SMCI,2025-01-15,31.38,31.71,30.48,30.99,30.99,27416700,27416700,-0.39,-1.24,31.14,"January 15, 25",-0.0124
SMCI,2025-01-14,31.95,32.39,30.4,30.53,30.53,21517927,21517927,-1.42,-4.44,31.3175,"January 14, 25",-0.0444
SMCI,2025-01-13,30.84,31.24,29.01,31.08,31.08,33913130,33913130,0.24,0.77821,30.5425,"January 13, 25",0.0077821
SMCI,2025-01-10,32.3,34.08,31.71,32.6,32.6,29754900,29754900,0.3,0.92879,32.6725,"January 10, 25",0.0092879
SMCI,2025-01-08,33.97,33.97,31.72,32.61,32.61,25899100,25899100,-1.36,-4.0,33.0675,"January 08, 25",-0.04
SMCI,2025-01-07,36.34,36.55,34.06,34.38,34.38,33287836,33287836,-1.96,-5.39,35.3325,"January 07, 25",-0.0539
SMCI,2025-01-06,34.95,38.5,34.92,36.45,36.45,56472643,56472643,1.5,4.29,36.205,"January 06, 25",0.0429
SMCI,2025-01-03,30.41,33.45,30.13,33.33,33.33,34497033,34497033,2.92,9.6,31.83,"January 03, 25",0.096
SMCI,2025-01-02,30.97,31.39,29.9,30.05,30.05,24396500,24396500,-0.92,-2.97,30.5775,"January 02, 25",-0.0297
SMCI,2024-12-31,30.87,31.39,29.95,30.48,30.48,26546713,26546713,-0.39,-1.26,30.6725,"December 31, 24",-0.0126
SMCI,2024-12-30,31.28,31.49,30.12,30.68,30.68,32119900,32119900,-0.6,-1.92,30.8925,"December 30, 24",-0.0192
SMCI,2024-12-27,33.25,33.56,31.64,31.98,31.98,32070600,32070600,-1.27,-3.82,32.6075,"December 27, 24",-0.0382
SMCI,2024-12-26,35.09,35.41,33.0,33.74,33.74,28221600,28221600,-1.34,-3.85,34.31,"December 26, 24",-0.0385
SMCI,2024-12-24,32.3,35.5,32.19,34.33,34.33,41339740,41339740,2.03,6.28,33.58,"December 24, 24",0.0628
SMCI,2024-12-23,31.82,32.59,31.58,32.4,32.4,26032300,26032300,0.585,1.82,32.0975,"December 23, 24",0.0182
SMCI,2024-12-20,30.95,33.47,30.51,31.59,31.59,85656300,85656300,0.64,2.07,31.63,"December 20, 24",0.0207
SMCI,2024-12-19,32.92,33.47,30.82,31.24,31.24,39138318,39138318,-1.68,-5.1,32.1125,"December 19, 24",-0.051
SMCI,2024-12-18,33.8,34.72,32.01,32.23,32.23,48011000,48011000,-1.57,-4.64,33.19,"December 18, 24",-0.0464
SMCI,2024-12-17,33.64,35.37,33.34,33.8,33.8,41821719,41821719,0.165,0.47562,34.0375,"December 17, 24",0.0047562
SMCI,2024-12-16,31.51,35.38,31.2,33.44,33.44,82607200,82607200,1.93,6.13,32.8825,"December 16, 24",0.0613
SMCI,2024-12-13,37.0,37.55,35.55,36.45,36.45,64847400,64847400,-0.55,-1.49,36.6375,"December 13, 24",-0.0149
SMCI,2024-12-12,37.81,39.8,37.5,37.93,37.93,39402400,39402400,0.12,0.31738,38.26,"December 12, 24",0.0031738
SMCI,2024-12-11,38.19,38.8,36.07,38.29,38.29,79559900,79559900,0.1,0.26185,37.8375,"December 11, 24",0.0026185
SMCI,2024-12-10,43.39,43.41,39.77,40.54,40.54,83380600,83380600,-2.85,-6.57,41.7775,"December 10, 24",-0.0657
SMCI,2024-12-09,47.93,48.0,44.09,44.16,44.16,98777300,98777300,-3.77,-7.87,46.045,"December 09, 24",-0.0787
SMCI,2024-12-06,42.03,44.97,41.34,43.93,43.93,108671335,108671335,1.9,4.52,43.0675,"December 06, 24",0.0452
SMCI,2024-12-05,42.42,42.83,40.92,41.14,41.14,71100400,71100400,-1.28,-3.02,41.8275,"December 05, 24",-0.0302
SMCI,2024-12-04,40.15,42.5,39.52,41.81,41.81,96994407,96994407,1.66,4.13,40.995,"December 04, 24",0.0413
SMCI,2024-12-03,44.42,45.99,38.82,40.21,40.21,204353025,204353025,-4.21,-9.48,42.36,"December 03, 24",-0.0948
SMCI,2024-12-02,37.78,44.15,35.32,42.0,42.0,263221608,263221608,4.22,11.17,39.8125,"December 02, 24",0.1117
SMCI,2024-11-29,32.97,33.49,31.11,32.64,32.64,60119948,60119948,-0.33,-1.0,32.5525,"November 29, 24",-0.01
SMCI,2024-11-27,35.26,37.14,34.43,35.07,35.07,63261342,63261342,-0.19,-0.53885,35.475,"November 27, 24",-0.0053885
SMCI,2024-11-26,37.59,37.67,34.03,34.43,34.43,95313000,95313000,-3.16,-8.41,35.93,"November 26, 24",-0.0841
SMCI,2024-11-25,36.03,39.23,35.55,38.41,38.41,170113700,170113700,2.38,6.61,37.305,"November 25, 24",0.0661
SMCI,2024-11-22,30.84,34.37,30.5,33.15,33.15,159607101,159607101,2.31,7.49,32.215,"November 22, 24",0.0749
SMCI,2024-11-21,27.68,30.5,26.51,29.7,29.7,118032643,118032643,2.02,7.3,28.5975,"November 21, 24",0.073
SMCI,2024-11-20,27.29,27.71,24.82,25.8,25.8,105366500,105366500,-1.49,-5.46,26.405,"November 20, 24",-0.0546
SMCI,2024-11-19,27.11,29.5,25.61,28.27,28.27,235282900,235282900,1.16,4.28,27.6225,"November 19, 24",0.0428
SMCI,2024-11-18,20.03,23.88,20.0,21.54,21.54,198081300,198081300,1.51,7.54,21.3625,"November 18, 24",0.0754
SMCI,2024-11-15,17.8,18.79,17.25,18.58,18.58,74025423,74025423,0.78,4.38,18.105,"November 15, 24",0.0438
SMCI,2024-11-14,17.99,19.24,17.36,18.01,18.01,95152100,95152100,0.02,0.11117,18.15,"November 14, 24",0.0011117
SMCI,2024-11-13,21.01,21.8,20.27,20.33,20.33,55525549,55525549,-0.6849,-3.24,20.8525,"November 13, 24",-0.0324
SMCI,2024-11-12,22.11,23.06,21.58,21.7,21.7,44022534,44022534,-0.41,-1.85,22.1125,"November 12, 24",-0.0185
SMCI,2024-11-11,22.35,23.66,21.3,23.23,23.23,71258426,71258426,0.88,3.94,22.635,"November 11, 24",0.0394
SMCI,2024-11-08,25.69,26.25,23.76,24.52,24.52,60549600,60549600,-1.16,-4.55,25.055,"November 08, 24",-0.0455
SMCI,2024-11-07,22.48,25.78,22.11,25.48,25.48,88234700,88234700,3.0,13.35,23.9625,"November 07, 24",0.1335
SMCI,2024-11-06,20.87,23.0,20.2,22.7,22.7,122890800,122890800,1.83,8.77,21.6925,"November 06, 24",0.0877
SMCI,2024-11-05,25.98,28.0,25.1,27.7,27.7,106628335,106628335,1.72,6.62,26.695,"November 05, 24",0.0662
SMCI,2024-11-04,24.89,27.97,23.9,26.03,26.03,92052000,92052000,1.14,4.58,25.6975,"November 04, 24",0.0458
SMCI,2024-11-01,27.6,28.75,25.71,26.05,26.05,102739043,102739043,-1.55,-5.62,27.0275,"November 01, 24",-0.0562
SMCI,2024-10-31,30.06,30.89,27.22,29.11,29.11,129887200,129887200,-0.95,-3.16,29.32,"October 31, 24",-0.0316
